IDOJ1_TipoOrgJurídica;IDAIO_AñoInicio;CONSUI_ConsumoIntermedio;SUELDOS_salariosAño;PRESTAC;TOTPERSO_PersonalTotal;VENTA
14;2013;984991;410403;128673;30;6465594
14;1997;887678;1123658;435535;62;26516984
14;2006;1814359;1741539;838184;79;20377618
14;2009;617296;87783;29663;8;6396184
14;1994;226254;577043;160394;26;9870394
4;2000;1797395;2027365;691334;136;56512019
14;2004;1572072;1449006;626678;54;29970613
14;2010;586188;614969;236669;50;3522312
14;2011;1455099;2338599;1000679;153;25121141
14;1988;3263304;1426326;614319;49;33440391
5;2003;371158;266963;111012;23;6474821
4;2005;50222486;9500366;3119496;335;177493930
14;2007;281151;198963;78464;15;6054585
14;2012;572581;598537;230381;28;18887808
99;2001;413335;501920;279975;20;15472265
5;2006;1716250;4122417;1481677;102;53561959
14;2009;263968;550887;197125;52;5944005
14;2005;571690;560364;233207;37;9597444
4;1993;692908;469093;168139;34;14675090
14;2012;429654;478670;350990;38;14453062
14;1992;534867;1512768;609701;86;16661254
14;2009;531718;526582;200232;27;2296101
14;2011;163977;637285;254454;59;12366122
99;1993;729600;469232;224069;38;7524774
14;1995;2963227;2495150;922589;145;49293650
14;1994;2086274;1917849;755425;66;23500301
14;1994;575022;1049499;546203;27;9730135
14;1996;161284;381626;160576;31;1827722
5;1996;8481490;2403307;817383;125;24755912
14;1996;369137;440044;167472;20;16996669
14;1996;2661658;2207210;985029;48;58789814
14;1997;1500679;1321105;871210;94;24913752
14;1998;629727;1150405;583741;41;11499618
4;2004;379092;137431;54784;13;2174105
5;2001;5201773;2179165;916458;84;44408110
14;2002;2467133;2062079;787138;114;16687783
5;2003;261070;339889;178116;18;3203740
14;2004;772976;346251;134276;23;6237921
14;2004;736250;1164060;469307;74;3486181
14;1999;235366;519408;216407;14;5095872
14;2004;8179327;3725476;1172379;211;44837250
14;1979;594600;655591;235727;20;5139939
14;1985;1409174;906734;396832;45;5064995
14;2005;206597;234968;127666;16;2943653
5;2006;1661063;2469470;1064034;120;19569629
5;2007;8911928;1679890;1102125;109;41726522
14;2009;1911340;555401;269033;49;18798405
14;2011;5394583;934232;326550;96;28077804
14;2010;6414104;3241400;1218517;153;29906390
14;2010;93265;156843;67070;13;7795771
14;2010;1492969;904487;340618;49;12964333
