IDOJ1_TipoOrgJurídica,IDAIO_AñoInicio,CONSUI_ConsumoIntermedio,SUELDOS_salariosAño,PRESTAC,TOTPERSO_PersonalTotal,VENTA
14,2003,bajo,alto,alto,medio,medias
5,2008,medio,muy alto,muy alto,muy alto,medias
5,1978,medio,muy alto,alto,alto,altas
14,2004,alto,alto,alto,medio,altas
4,1991,medio,bajo,bajo,bajo,bajas
14,2004,alto,medio,medio,medio,bajas
14,2011,muy alto,alto,alto,muy alto,muy altas
5,2007,muy alto,muy alto,muy alto,alto,muy altas
14,1991,medio,bajo,bajo,bajo,bajas
14,1952,medio,medio,medio,bajo,bajas
5,2002,bajo,medio,medio,bajo,medias
14,2011,medio,medio,medio,alto,altas
14,2011,muy alto,muy alto,muy alto,alto,altas
14,2008,bajo,bajo,bajo,bajo,bajas
14,1996,medio,bajo,bajo,bajo,bajas
5,2008,alto,alto,alto,alto,bajas
14,2009,medio,bajo,bajo,medio,altas
4,1997,alto,alto,alto,alto,medias
5,1994,alto,muy alto,muy alto,muy alto,muy altas
4,1987,alto,alto,alto,medio,medias
14,2008,alto,muy alto,alto,alto,medias
14,1998,muy alto,alto,alto,alto,altas
13,2001,alto,alto,alto,alto,altas
14,1969,muy alto,alto,alto,medio,muy altas
14,2000,alto,muy alto,muy alto,medio,altas
5,2006,muy alto,alto,muy alto,medio,altas
14,2000,muy alto,medio,alto,bajo,muy altas
14,2009,alto,bajo,bajo,bajo,bajas
14,1996,alto,alto,alto,alto,altas
14,2011,alto,alto,alto,medio,muy altas
14,2004,muy alto,muy alto,muy alto,muy alto,muy altas
14,2010,alto,medio,medio,bajo,bajas
5,1996,alto,bajo,bajo,bajo,medias
4,2007,medio,medio,medio,medio,altas
4,2010,medio,bajo,bajo,bajo,bajas
4,1991,medio,medio,medio,alto,medias
5,1998,alto,alto,alto,medio,altas
14,2001,medio,muy alto,muy alto,medio,altas
14,2010,muy alto,alto,alto,bajo,altas
14,2010,medio,alto,alto,bajo,altas
4,1983,bajo,medio,medio,bajo,bajas
14,2010,bajo,bajo,bajo,bajo,bajas
14,2006,alto,alto,alto,alto,altas
4,1996,bajo,medio,medio,bajo,bajas
14,2011,medio,bajo,bajo,bajo,altas
14,2007,alto,medio,medio,medio,altas
14,1979,bajo,medio,bajo,bajo,bajas
14,1998,muy alto,muy alto,muy alto,alto,altas
14,2006,alto,alto,medio,medio,altas
14,2005,medio,medio,medio,bajo,bajas
4,2005,muy alto,medio,alto,medio,muy altas
5,2004,bajo,medio,medio,medio,medias
14,2008,muy alto,muy alto,muy alto,muy alto,muy altas
14,2009,bajo,bajo,bajo,bajo,bajas
14,2003,medio,medio,medio,bajo,bajas
4,2008,medio,alto,alto,medio,altas
14,1998,alto,medio,medio,medio,altas
14,2005,muy alto,alto,muy alto,muy alto,muy altas
4,2008,alto,alto,alto,medio,altas
14,2006,alto,medio,medio,medio,altas
14,2007,alto,muy alto,muy alto,alto,altas
4,2007,bajo,alto,alto,bajo,altas
14,2008,alto,medio,medio,bajo,bajas
14,2008,alto,alto,alto,alto,altas
4,2007,alto,alto,alto,bajo,altas
14,2008,bajo,medio,medio,bajo,bajas
4,2008,medio,medio,medio,bajo,medias
4,2008,muy alto,medio,bajo,bajo,medias
14,1999,medio,bajo,bajo,bajo,bajas
4,2004,bajo,bajo,bajo,bajo,altas
14,2006,muy alto,alto,alto,alto,muy altas
4,1996,medio,medio,alto,medio,medias
14,1988,bajo,medio,medio,medio,medias
14,1998,muy alto,alto,alto,muy alto,muy altas
14,2006,muy alto,muy alto,muy alto,muy alto,muy altas
4,2004,alto,muy alto,muy alto,alto,muy altas
14,2000,bajo,medio,medio,bajo,bajas
14,2005,alto,muy alto,muy alto,alto,muy altas
14,2009,alto,alto,alto,alto,altas
14,1992,alto,bajo,bajo,bajo,bajas
4,1999,medio,medio,medio,medio,medias
14,2003,alto,alto,alto,medio,altas
14,2003,medio,alto,alto,medio,altas
4,1996,alto,alto,alto,alto,muy altas
4,1983,medio,alto,alto,medio,bajas
5,2005,medio,medio,alto,bajo,bajas
14,2005,medio,medio,medio,medio,medias
14,2010,alto,alto,alto,alto,muy altas
5,2005,muy alto,alto,alto,alto,altas
14,2000,bajo,medio,medio,bajo,bajas
4,2004,medio,bajo,bajo,bajo,bajas
14,2002,alto,medio,medio,medio,altas
14,2006,alto,alto,medio,alto,medias
4,1980,medio,medio,medio,bajo,bajas
99,1986,bajo,medio,medio,bajo,bajas
5,1997,bajo,medio,medio,bajo,medias
14,2002,muy alto,alto,medio,alto,muy altas
4,2002,bajo,medio,medio,medio,bajas
14,1986,alto,alto,alto,alto,altas
5,1994,medio,alto,alto,bajo,medias
14,2000,alto,medio,medio,medio,medias
4,1991,medio,medio,medio,bajo,medias
4,2007,medio,medio,alto,medio,medias
14,2006,medio,bajo,bajo,medio,medias
14,1994,medio,medio,medio,medio,bajas
5,2003,alto,alto,alto,medio,altas
14,2010,bajo,medio,medio,bajo,bajas
14,2010,alto,alto,alto,medio,muy altas
14,2012,muy alto,muy alto,muy alto,alto,muy altas
14,2011,alto,alto,alto,medio,medias
14,2011,alto,alto,alto,medio,medias
14,2011,medio,alto,alto,alto,altas
14,2012,muy alto,alto,alto,alto,muy altas
14,2012,alto,muy alto,alto,bajo,altas
14,2010,muy alto,alto,alto,medio,altas
